GPS TOW (s),GPS Week,Latitude (deg),Longitude (deg),Ellipsoid Height (m),ECEF X (m),ECEF Y (m),ECEF Z (m),Roll (deg),Pitch (deg),Heading (deg),East Velocity (m/s),North Velocity (m/s),Up Velocity (m/s)
553950.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.762, 3652897.917,  0.090,  3.676, 268.786, -0.001, -0.001,  0.000
553950.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.762, 3652897.917,  0.098,  3.677, 268.785, -0.001,  0.001, -0.001
553950.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.762, 3652897.917,  0.094,  3.674, 268.784, -0.000, -0.001, -0.001
553950.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.762, 3652897.917,  0.095,  3.675, 268.784, -0.001,  0.001,  0.000
553950.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.762, 3652897.917,  0.096,  3.677, 268.784,  0.001, -0.001,  0.000
553951.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.091,  3.672, 268.784,  0.000,  0.001, -0.002
553951.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.096,  3.675, 268.785, -0.002,  0.000,  0.002
553951.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.762, 3652897.917,  0.091,  3.676, 268.784,  0.001, -0.000, -0.001
553951.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.095,  3.674, 268.785,  0.000,  0.001,  0.001
553951.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.762, 3652897.917,  0.092,  3.675, 268.784,  0.001, -0.001,  0.001
553952.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.094,  3.674, 268.785,  0.001,  0.001,  0.001
553952.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.762, 3652897.917,  0.092,  3.674, 268.784, -0.001, -0.001,  0.000
553952.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.096,  3.675, 268.785,  0.001,  0.001,  0.000
553952.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.094,  3.674, 268.786, -0.001, -0.001,  0.001
553952.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.092,  3.674, 268.786,  0.001,  0.000,  0.003
553953.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.095,  3.673, 268.785, -0.001, -0.001, -0.001
553953.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.090,  3.674, 268.788,  0.001, -0.002, -0.000
553953.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.089,  3.671, 268.785, -0.003,  0.000,  0.003
553953.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.091,  3.672, 268.785,  0.000, -0.000, -0.002
553953.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.089,  3.669, 268.786, -0.000,  0.001, -0.001
553954.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.091,  3.674, 268.786,  0.000, -0.001,  0.002
553954.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.088,  3.672, 268.785, -0.000,  0.000, -0.000
553954.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.092,  3.671, 268.786, -0.001,  0.000, -0.002
553954.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.089,  3.670, 268.786, -0.000, -0.001,  0.000
553954.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.092,  3.670, 268.785, -0.000,  0.001, -0.000
553955.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.092,  3.668, 268.785, -0.001, -0.001, -0.001
553955.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.090,  3.670, 268.787,  0.000,  0.001,  0.001
